Year|Month|Day|rainfall_mm|min_temp_C|max_temp_C|daily_avg|daily_range|uv_MJ_m*m|Season
1960|2|1|0.0|18.7|33.3|26.0|14.6||2
1960|3|1|0.0|10.8|21.2|16.0|10.4||3
1960|4|1|0.0|14.2|28.3|21.25|14.1||3
1960|5|1|0.0|4.6|21.1|12.85|16.5||3
1960|6|1|0.0|7.9|21.6|14.75|13.7||4
1960|7|1|0.3|3.9|18.0|10.95|14.1||4
1960|8|1|0.3|0.7|14.7|7.7|14.0||4
1960|9|1|4.3|9.4|19.3|14.35|9.9||1
1960|10|1|0.0|7.9|20.7|14.3|12.8||1
1960|11|1|0.0|6.3|25.0|15.65|18.7||1
1960|12|1|0.0|14.2|25.8|20.0|11.6||2
1961|1|1|0.0|16.8|34.7|25.75|17.9||2
1961|2|1|0.0|19.2|39.6|29.4|20.4||2
1961|4|1|7.6|12.8|23.1|17.95|10.3||3
1961|5|1|0.0|8.1|23.9|16.0|15.8||3
1961|6|1|22.4|10.9|20.4|15.65|9.5||4
1961|7|1|23.4|9.1|16.5|12.8|7.4||4
1961|8|1|0.0|6.2|20.5|13.35|14.3||4
1961|9|1|2.3|8.2|19.4|13.8|11.2||1
1961|10|1|0.0|5.9|20.9|13.4|15.0||1
1961|11|1|0.0|8.9|22.3|15.6|13.4||1
1961|12|1|0.0|14.1|28.0|21.05|13.9||2
1962|3|1|0.0|12.3|27.0|19.65|14.7||3
1962|4|1|0.0|14.2|29.6|21.9|15.4||3
1962|5|1|0.0|14.3|29.4|21.85|15.1||3
1962|6|1|7.9|11.2|18.3|14.75|7.1||4
1962|7|1|0.0|5.7|17.3|11.5|11.6||4
1962|8|1|0.5|4.3|19.3|11.8|15.0||4
1962|9|1|0.0|9.1|21.0|15.05|11.9||1
1962|10|1|12.4|12.6|19.3|15.95|6.7||1
1962|11|1|0.0|7.4|23.3|15.35|15.9||1
1962|12|1|0.0|12.8|21.3|17.05|8.5||2
1963|1|1|1.0|14.2|26.1|20.15|11.9||2
1963|2|1|0.0|16.2|31.6|23.9|15.4||2
1963|3|1|0.0|19.7|37.2|28.45|17.5||3
1963|4|1|0.0|13.7|28.4|21.05|14.7||3
1963|5|1|0.8|15.6|21.3|18.45|5.7||3
1963|6|1|11.2|12.2|18.2|15.2|6.0||4
1963|7|1|2.0|9.4|17.6|13.5|8.2||4
1963|8|1|0.0|5.4|19.1|12.25|13.7||4
